datetime,energy_usage_kWh
2023-01-02 00:00:00,3.8978449718418884
2023-01-02 01:00:00,3.7736791921604795
2023-01-02 02:00:00,3.2187859434045922
2023-01-02 03:00:00,2.8631957603832765
2023-01-02 04:00:00,2.415934564321368
2023-01-02 05:00:00,2.1350544141889922
2023-01-02 06:00:00,1.0767954540007514
2023-01-02 07:00:00,0.8791498643884308
2023-01-02 08:00:00,0.21475279692923438
2023-01-02 09:00:00,-0.13849092205528676
2023-01-02 10:00:00,0.3706456659128238
2023-01-02 11:00:00,-0.7443505975771627
2023-01-02 12:00:00,-0.6085262753044843
2023-01-02 13:00:00,-0.2024838439793772
2023-01-02 14:00:00,0.35743989449441127
2023-01-02 15:00:00,0.39339083225880817
2023-01-02 16:00:00,0.6035324755462288
2023-01-02 17:00:00,0.8027965725009591
2023-01-02 18:00:00,1.5638315898996566
2023-01-02 19:00:00,2.096640299159619
2023-01-02 20:00:00,2.4079790455872168
2023-01-02 21:00:00,2.5898434003090207
2023-01-02 22:00:00,2.588714383490732
2023-01-02 23:00:00,3.0055558174933115
2023-01-03 00:00:00,3.3415543858206127
2023-01-03 01:00:00,3.308666810019886
2023-01-03 02:00:00,3.4415920829114834
2023-01-03 03:00:00,3.2247319811589175
2023-01-03 04:00:00,2.1259195828055533
2023-01-03 05:00:00,2.5787089444485556
2023-01-03 06:00:00,1.7908579748449864
2023-01-03 07:00:00,0.7419655155649665
2023-01-03 08:00:00,0.8630600295528976
2023-01-03 09:00:00,0.6215671729346489
2023-01-03 10:00:00,-0.23713800270980517
2023-01-03 11:00:00,-0.13498289486561194
2023-01-03 12:00:00,-0.8942851384090461
2023-01-03 13:00:00,-0.4202416491836168
2023-01-03 14:00:00,0.16598818640484325
2023-01-03 15:00:00,0.5484486649807504
2023-01-03 16:00:00,0.718815698079554
2023-01-03 17:00:00,1.298627431852487
2023-01-03 18:00:00,1.716200918415639
2023-01-03 19:00:00,1.7015994120226814
2023-01-03 20:00:00,2.9456536596899503
2023-01-03 21:00:00,3.2951794523392914
2023-01-03 22:00:00,3.13017742484937
2023-01-03 23:00:00,3.4714297073920406
2023-01-04 00:00:00,3.626548202383138
2023-01-04 01:00:00,3.6600035045454624
2023-01-04 02:00:00,3.2251313770859453
2023-01-04 03:00:00,3.701077447252547
2023-01-04 04:00:00,2.562346861272967
